cell_id,cluster,leiden
552,stromal 2,8
553,immune,25
554,immune,11
555,luminal epithelial 2,22
556,immune,3
557,luminal epithelial 3,0
558,luminal epithelial 2,1
559,GATA3+ epithelial,0
560,apoptotic epithelial 1,12
561,epithelial,1
562,luminal epithelial 3,0
563,immune,3
564,immune,0
565,proliferating epithelial,16
566,immune,1
567,proliferating epithelial,13
568,proliferating epithelial,3
569,GATA3+ epithelial,13
570,stromal 1,1
571,luminal epithelial 3,22
572,basal epithelial 1,0
573,fibroblasts,22
574,luminal epithelial 2,8
575,t cells,2
576,proliferating epithelial,22
577,luminal epithelial 2,14
578,luminal epithelial 3,13
579,luminal epithelial 3,0
580,luminal epithelial 1,0
581,proliferating epithelial,13
582,proliferating epithelial,22
583,luminal epithelial 2,14
584,stromal 1,1
585,luminal epithelial 3,16
586,luminal epithelial 2,16
587,luminal epithelial 3,17
588,immune,1
589,apoptotic epithelial 1,1
590,GATA3+ epithelial,0
591,luminal epithelial 1,1
592,apoptotic epithelial 1,1
593,immune,0
594,GATA3+ epithelial,1
595,luminal epithelial 2,10
596,GATA3+ epithelial,13
597,luminal epithelial 1,3
598,immune,16
599,stromal 3,7
600,luminal epithelial 2,2
601,GATA3+ epithelial,13
602,stromal 1,1
603,luminal epithelial 1,1
604,GATA3+ epithelial,1
605,GATA3+ epithelial,1
606,luminal epithelial 1,1
607,stromal 2,2
608,luminal epithelial 2,8
609,immune,0
610,proliferating epithelial,2
611,proliferating epithelial,3
612,GATA3+ epithelial,4
613,GATA3+ epithelial,1
614,luminal epithelial 2,0
615,GATA3+ epithelial,1
616,luminal epithelial 1,1
617,luminal epithelial 1,13
618,proliferating epithelial,0
619,luminal epithelial 2,22
620,GATA3+ epithelial,3
621,stromal 2,5
622,GATA3+ epithelial,0
623,proliferating epithelial,22
624,luminal epithelial 2,1
625,luminal epithelial 2,8
626,proliferating epithelial,13
627,GATA3+ epithelial,2
628,luminal epithelial 1,3
629,proliferating epithelial,7
630,luminal epithelial 3,1
631,GATA3+ epithelial,3
632,luminal epithelial 2,5
633,luminal epithelial 1,1
634,proliferating epithelial,8
635,apoptotic epithelial 2,3
636,immune,13
637,luminal epithelial 1,1
638,immune,3
639,luminal epithelial 1,1
640,immune,13
641,luminal epithelial 2,0
642,hypoxic cells,3
643,GATA3+ epithelial,3
644,GATA3+ epithelial,7
645,proliferating epithelial,14
646,proliferating epithelial,0
647,immune,0
648,luminal epithelial 3,1
649,luminal epithelial 3,7
650,immune,1
651,GATA3+ epithelial,8
652,fibroblasts,9
653,GATA3+ epithelial,13
654,GATA3+ epithelial,3
655,luminal epithelial 3,2
656,luminal epithelial 3,8
657,luminal epithelial 1,2
658,apoptotic epithelial 2,0
659,luminal epithelial 2,1
660,apoptotic epithelial 2,12
661,luminal epithelial 1,0
662,luminal epithelial 3,0
663,proliferating epithelial,22
664,GATA3+ epithelial,3
665,GATA3+ epithelial,3
666,proliferating epithelial,1
667,proliferating epithelial,13
668,proliferating epithelial,1
669,GATA3+ epithelial,1
670,hypoxic cells,14
671,luminal epithelial 1,7
672,apoptotic epithelial 2,10
673,GATA3+ epithelial,13
674,GATA3+ epithelial,8
675,immune,1
676,immune,1
677,proliferating epithelial,3
678,basal epithelial 1,17
679,GATA3+ epithelial,14
680,luminal epithelial 1,22
681,luminal epithelial 3,16
682,apoptotic epithelial 2,3
683,GATA3+ epithelial,3
684,luminal epithelial 1,13
685,luminal epithelial 1,13
686,stromal 3,8
687,stromal 2,2
688,epithelial,22
689,GATA3+ epithelial,0
690,luminal epithelial 1,0
691,GATA3+ epithelial,13
692,luminal epithelial 2,13
693,proliferating epithelial,13
694,GATA3+ epithelial,13
695,luminal epithelial 3,13
696,GATA3+ epithelial,13
697,luminal epithelial 1,0
698,GATA3+ epithelial,25
699,apoptotic epithelial 2,1
700,GATA3+ epithelial,1
701,apoptotic epithelial 2,5
702,GATA3+ epithelial,5
703,GATA3+ epithelial,1
704,luminal epithelial 1,3
705,luminal epithelial 1,1
706,luminal epithelial 3,22
707,luminal epithelial 3,1
708,PR+ epithelial,8
709,stromal 1,2
710,luminal epithelial 1,2
711,epithelial,25
712,stromal 1,0
713,proliferating epithelial,1
714,GATA3+ epithelial,5
715,luminal epithelial 3,3
716,luminal epithelial 1,0
717,luminal epithelial 1,0
718,immune,0
719,luminal epithelial 1,3
720,basal epithelial 1,16
721,apoptotic epithelial 1,13
722,proliferating epithelial,0
723,proliferating epithelial,11
724,proliferating epithelial,13
725,proliferating epithelial,13
726,luminal epithelial 1,3
727,luminal epithelial 1,1
728,GATA3+ epithelial,13
729,proliferating epithelial,16
730,GATA3+ epithelial,5
731,GATA3+ epithelial,1
732,proliferating epithelial,5
733,proliferating epithelial,3
734,GATA3+ epithelial,1
735,luminal epithelial 2,17
736,immune,1
737,GATA3+ epithelial,12
738,proliferating epithelial,25
739,GATA3+ epithelial,2
740,luminal epithelial 2,22
741,luminal epithelial 1,22
742,GATA3+ epithelial,1
743,proliferating epithelial,22
744,luminal epithelial 1,13
745,luminal epithelial 1,1
746,luminal epithelial 3,0
747,luminal epithelial 2,9
748,luminal epithelial 1,14
749,luminal epithelial 1,1
750,luminal epithelial 1,1
751,immune,3
752,GATA3+ epithelial,3
753,luminal epithelial 2,0
754,luminal epithelial 2,2
755,proliferating epithelial,2
756,immune,13
757,luminal epithelial 1,22
758,immune,3
759,proliferating epithelial,4
760,GATA3+ epithelial,2
761,luminal epithelial 3,5
762,luminal epithelial 1,22
763,stromal 3,16
764,immune,2
765,luminal epithelial 1,13
766,GATA3+ epithelial,1
767,luminal epithelial 1,13
768,luminal epithelial 1,0
769,proliferating epithelial,13
770,apoptotic epithelial 2,1
771,luminal epithelial 1,0
772,immune,2
773,luminal epithelial 1,14
774,luminal epithelial 1,1
775,GATA3+ epithelial,1
776,b cells,2
777,proliferating epithelial,0
778,stromal 3,1
779,apoptotic epithelial 1,4
780,luminal epithelial 3,2
781,luminal epithelial 3,1
782,luminal epithelial 1,13
783,GATA3+ epithelial,1
784,GATA3+ epithelial,0
785,luminal epithelial 2,8
786,luminal epithelial 3,4
787,hypoxic cells,2
788,proliferating epithelial,3
789,luminal epithelial 3,3
790,stromal 1,14
791,immune,3
792,t cells,14
793,luminal epithelial 2,1
794,luminal epithelial 1,2
795,luminal epithelial 1,1
796,luminal epithelial 1,8
797,GATA3+ epithelial,16
798,t cells,5
799,immune,1
800,luminal epithelial 1,13
801,apoptotic epithelial 1,2
802,immune,1
803,luminal epithelial 1,0
804,GATA3+ epithelial,1
805,GATA3+ epithelial,13
806,apoptotic epithelial 1,0
807,proliferating epithelial,0
808,GATA3+ epithelial,2
809,fibroblasts,3
810,GATA3+ epithelial,14
811,immune,25
812,luminal epithelial 3,0
813,proliferating epithelial,13
814,GATA3+ epithelial,0
815,hypoxic cells,2
816,luminal epithelial 3,13
817,immune,8
818,proliferating epithelial,0
819,luminal epithelial 2,2
820,luminal epithelial 1,0
821,luminal epithelial 1,1
822,GATA3+ epithelial,3
823,GATA3+ epithelial,1
824,luminal epithelial 3,13
825,stromal 1,2
826,GATA3+ epithelial,11
827,proliferating epithelial,0
828,luminal epithelial 3,13
829,immune,1
830,GATA3+ epithelial,3
831,luminal epithelial 3,14
832,stromal 1,1
833,immune,0
834,stromal 3,2
835,luminal epithelial 3,1
836,luminal epithelial 1,1
837,stromal 3,1
838,luminal epithelial 1,13
839,GATA3+ epithelial,14
840,PR+ epithelial,7
841,luminal epithelial 1,1
842,immune,0
843,luminal epithelial 1,0
844,proliferating epithelial,0
845,luminal epithelial 1,1
846,luminal epithelial 3,1
847,GATA3+ epithelial,1
848,luminal epithelial 3,9
849,GATA3+ epithelial,1
850,luminal epithelial 1,2
851,stromal 1,5
852,proliferating epithelial,14
853,GATA3+ epithelial,13
854,luminal epithelial 3,22
855,luminal epithelial 3,1
856,proliferating epithelial,1
857,luminal epithelial 3,0
858,GATA3+ epithelial,13
859,immune,2
860,stromal 1,2
861,luminal epithelial 3,1
862,GATA3+ epithelial,1
863,immune,9
864,immune,2
865,immune,0
866,luminal epithelial 1,3
867,luminal epithelial 3,0
868,GATA3+ epithelial,2
869,t cells,5
870,luminal epithelial 3,5
871,proliferating epithelial,14
872,proliferating epithelial,25
873,GATA3+ epithelial,1
874,luminal epithelial 3,1
875,stromal 3,2
876,stromal 1,7
877,stromal 1,7
878,luminal epithelial 3,13
879,GATA3+ epithelial,5
880,luminal epithelial 3,2
881,GATA3+ epithelial,5
882,GATA3+ epithelial,0
883,proliferating epithelial,1
884,immune,1
885,GATA3+ epithelial,8
